HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,20000,200,3,3,2,1,New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,42.3040807,-74.01013495333201
Apartment,60000,156,2,3,2,1,Eastown,Cairo,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30.012330300000002,31.51555386421819
Apartment,15000,131,3,2,4,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,1,0,0,0,30.063584,31.4889939
Apartment,15000,160,3,2,0,0,New Cairo,Cairo,1,0,1,0,0,1,0,0,0,0,0,0,0,1,42.3040807,-74.01013495333201
Apartment,18000,170,3,3,0,0,Rehab City,Cairo,1,1,1,0,1,1,1,1,0,1,1,1,0,0,30.063584,31.4889939
Duplex,75000,350,3,3,0,1,Uptown Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,1,1,1,0,30.02362815,31.304425051498075
Apartment,9500,116,3,2,4,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,0,0,0,0,30.093319,31.63791604173324
Apartment,38000,140,2,2,1,0,Katameya Dunes,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,0,1,30.0014688,31.5198459
Apartment,1300,140,2,1,2,1,Zizinia Gardens,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,0,1,30.037173199999998,31.504690351364992
Apartment,12000,116,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,1,0,0,0,30.093319,31.63791604173324
Apartment,15000,139,3,2,3,0,Rehab City,Cairo,1,1,1,0,1,1,1,1,1,0,1,0,0,0,30.063584,31.4889939
Duplex,30000,580,5,3,0,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,1,0,0,42.3040807,-74.01013495333201
Apartment,55000,17,3,3,0,1,Mivida,Cairo,1,0,1,0,0,1,1,0,0,0,1,1,0,0,30.00579785,31.537649320922906
Apartment,30000,150,2,2,2,1,The Village,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10.7592548,122.5895577
Studio,23000,90,1,1,1,1,The Village,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0,10.7592548,122.5895577
Apartment,25000,220,3,2,10,1,Nasr City,Cairo,1,1,1,1,1,1,1,0,1,0,1,0,0,0,30.0521177,31.3422045
Apartment,22000,96,2,2,5,1,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,0,0,0,0,30.093319,31.63791604173324
