HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool
Duplex,75000,350,3,3,0,1,Uptown Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,1,1,1,0
Apartment,9500,116,3,2,4,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,0,0,0,0
Apartment,38000,140,2,2,1,0,Katameya Dunes,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Apartment,1300,140,2,1,2,1,Zizinia Gardens,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,0,1
Apartment,12000,116,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,1,0,0,0
Apartment,15000,139,3,2,3,0,Rehab City,Cairo,1,1,1,0,1,1,1,1,1,0,1,0,0,0
Duplex,30000,580,5,3,0,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,1,0,0
Apartment,55000,17,3,3,0,1,Mivida,Cairo,1,0,1,0,0,1,1,0,0,0,1,1,0,0
Apartment,30000,150,2,2,2,1,The Village,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Studio,23000,90,1,1,1,1,The Village,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0
Apartment,25000,220,3,2,10,1,Nasr City,Cairo,1,1,1,1,1,1,1,0,1,0,1,0,0,0
Apartment,22000,96,2,2,5,1,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,0,0,0,0
Apartment,45000,300,3,3,2,1,New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,1,1,0,0
Apartment,16000,131,3,2,4,0,Rehab City,Cairo,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Apartment,49000,150,2,3,3,1,Cairo Festival City,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0
Apartment,35000,180,3,3,2,0,New Cairo,Cairo,0,0,0,1,1,0,0,1,0,1,1,0,0,0
Apartment,35000,150,2,3,0,1,New Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,0,1,0,0
Apartment,25000,152,2,3,3,1,Katameya Plaza,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0
Penthouse,20000,156,2,2,4,1,Fifth Square,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0
Duplex,26000,150,2,3,3,1,Porto New Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,1,0
Apartment,20000,155,2,2,2,1,South Investors,Cairo,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Apartment,13000,99,2,1,3,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,1,0,0,0
Penthouse,80000,345,3,3,4,0,Lake view Residence,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,1,0
Apartment,45000,193,3,2,5,1,Hyde Park New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,18000,170,3,2,3,1,New Cairo,Cairo,1,1,1,0,1,0,1,1,1,0,1,0,0,1
Apartment,9500,84,2,1,4,0,Madinaty,Cairo,1,0,1,1,1,0,1,1,0,0,0,0,0,0
Duplex,18000,320,4,3,2,0,5th Settlement,Cairo,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Apartment,18000,200,3,2,1,0,New Cairo,Cairo,1,1,1,1,1,1,1,0,1,1,0,0,0,0
Apartment,25000,182,3,3,3,1,90 Avenue,Cairo,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Apartment,18000,175,3,2,1,1,Nasr City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0
Apartment,25000,90,2,1,0,1,Rehab City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0
Apartment,16000,14,3,2,1,0,One Kattameya,Cairo,1,0,1,0,0,1,1,0,0,1,1,1,0,1
Apartment,35000,300,4,3,6,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,45000,370,4,3,10,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,50000,350,4,3,10,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,40000,300,4,3,1,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Studio,25000,55,1,1,0,1,Rehab City,Cairo,1,1,1,0,0,1,1,1,0,0,0,1,0,0
Apartment,35000,250,3,3,4,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,20000,165,3,2,6,1,Nasr City,Cairo,1,0,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,22000,90,2,1,5,1,Rehab City,Cairo,1,1,1,1,1,1,0,1,1,0,0,0,0,0
Apartment,70000,350,4,4,8,0,Nasr City,Cairo,0,0,0,0,0,0,0,1,1,0,0,0,0,0
